#curie_map:
#  fix_orchestra: https://w3id.org/lmodel/fix-orchestra/
#  fix_sbe: https://w3id.org/lmodel/fix-sbe/
#mapping_set_id: https://w3id.org/lmodel/fix-orchestra/mappings/fix-orchestra-to-fix-sbe.sssom.tsv
#mapping_set_description: Manually curated subject-side mappings from FIX Orchestra LinkML entities to FIX Simple Binary Encoding (SBE) LinkML entities. Inverse of fix-sbe-to-fix-orchestra.sssom.tsv: subjects and objects are swapped and broadMatch / narrowMatch predicates are flipped to preserve SKOS semantics. exactMatch, closeMatch, and relatedMatch are symmetric and unchanged. Each Orchestra metamodel class / enum is mapped to its closest SBE counterpart (V1 and V2 listed independently where they exist). Mappings cover only entities with a defensible semantic correspondence and intentionally omit Orchestra-only entities (workflow, scenarios, sessions, actors, ...) for which no SBE counterpart exists.
#mapping_set_version: 0.1.0
#license: https://creativecommons.org/licenses/by/4.0/
#mapping_date: 2026-05-25
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
fix_orchestra:CodeSetType	CodeSetType	skos:closeMatch	fix_sbe:EnumTypeV1	EnumType (SBE v1.0)	semapv:ManualMappingCuration	0.9	Enumerated set of permissible (valid) values; Orchestra CodeSetType is equivalent to SBE EnumType.
fix_orchestra:CodeSetType	CodeSetType	skos:closeMatch	fix_sbe:EnumTypeV2	EnumType (SBE v2.0)	semapv:ManualMappingCuration	0.9	Same as v1.0.
fix_orchestra:CodeSetType	CodeSetType	skos:closeMatch	fix_sbe:SetTypeV1	SetType (SBE v1.0)	semapv:ManualMappingCuration	0.8	SBE SetType is a bitset of named choices; closest Orchestra analog is a multi-value CodeSetType.
fix_orchestra:CodeSetType	CodeSetType	skos:closeMatch	fix_sbe:SetTypeV2	SetType (SBE v2.0)	semapv:ManualMappingCuration	0.8	Same as v1.0.
fix_orchestra:CodeType	CodeType	skos:closeMatch	fix_sbe:Choice	Choice	semapv:ManualMappingCuration	0.9	A single Orchestra CodeType within a CodeSetType corresponds to a single named Choice within an SBE SetType (bitset).
fix_orchestra:CodeType	CodeType	skos:closeMatch	fix_sbe:ValidValue	ValidValue	semapv:ManualMappingCuration	0.9	An Orchestra CodeType is equivalent to a single permissible (valid) value within an SBE EnumType.
fix_orchestra:ComponentType	ComponentType	skos:closeMatch	fix_sbe:BlockTypeV1	BlockType (SBE v1.0)	semapv:ManualMappingCuration	0.85	Orchestra ComponentType groups field / group references in a reusable block; SBE BlockType groups a fixed-layout set of named fields. Structural intent matches at the design-time vs encoding-time boundary.
fix_orchestra:ComponentType	ComponentType	skos:closeMatch	fix_sbe:BlockTypeV2	BlockType (SBE v2.0)	semapv:ManualMappingCuration	0.85	Same as the v1.0 mapping; v2.0 BlockType additionally exposes offset / primitive-type mixin attributes but the core concept is unchanged.
fix_orchestra:ComponentType	ComponentType	skos:closeMatch	fix_sbe:GroupTypeV1	GroupType (SBE v1.0)	semapv:ManualMappingCuration	0.75	Orchestra models repeating groups as Components carrying group semantics (no top-level GroupType class); SBE GroupType is a repeating block of fields.
fix_orchestra:ComponentType	ComponentType	skos:closeMatch	fix_sbe:GroupTypeV2	GroupType (SBE v2.0)	semapv:ManualMappingCuration	0.75	Same as v1.0.
fix_orchestra:Datatype	Datatype	skos:closeMatch	fix_sbe:CompositeDataTypeV1	CompositeDataType (SBE v1.0)	semapv:ManualMappingCuration	0.8	Structured Orchestra Datatype with mapped sub-datatypes corresponds to an SBE composite encoding (a sequence of member encodings).
fix_orchestra:Datatype	Datatype	skos:closeMatch	fix_sbe:CompositeDataTypeV2	CompositeDataType (SBE v2.0)	semapv:ManualMappingCuration	0.8	Same as v1.0; v2.0 differs by holding MemberDataType / RefType children rather than inline simpleType / enumType definitions.
fix_orchestra:Datatype	Datatype	skos:closeMatch	fix_sbe:EncodedDataTypeV1	EncodedDataType (SBE v1.0)	semapv:ManualMappingCuration	0.85	Orchestra Datatype definition is the counterpart of SBE v1.0 EncodedDataType (single-encoding datatype declaration).
fix_orchestra:Datatype	Datatype	skos:closeMatch	fix_sbe:SimpleDataTypeV2	SimpleDataType (SBE v2.0)	semapv:ManualMappingCuration	0.85	SBE v2.0 single-encoding datatype declaration; SBE successor to v1.0 EncodedDataType.
fix_orchestra:Datatype	Datatype	skos:broadMatch	fix_sbe:MemberDataTypeV2	MemberDataType (SBE v2.0)	semapv:ManualMappingCuration	0.7	SBE v2.0 MemberDataType is a sub-element of a CompositeDataType; semantically narrower than a top-level Orchestra Datatype definition (inverse of the SBE -> Orchestra narrowMatch).
fix_orchestra:Datatype	Datatype	skos:narrowMatch	fix_sbe:PrimitiveTypeV1	PrimitiveType (SBE v1.0)	semapv:ManualMappingCuration	0.6	Orchestra Datatype is defined in terms of mapped primitives; SBE PrimitiveType enumerates encoding-level primitives (uint8, int16, double, ...) and is therefore broader (inverse of the SBE -> Orchestra broadMatch).
fix_orchestra:Datatype	Datatype	skos:narrowMatch	fix_sbe:PrimitiveTypeV2	PrimitiveType (SBE v2.0)	semapv:ManualMappingCuration	0.6	Same as v1.0.
fix_orchestra:Datatypes	Datatypes	skos:exactMatch	fix_sbe:TypesV2	Types (SBE v2.0)	semapv:ManualMappingCuration	0.95	Container element holding datatype definitions; equivalent on both sides.
fix_orchestra:EntityAttribGrp	EntityAttribGrp	skos:closeMatch	fix_sbe:VersionAttributes	VersionAttributes	semapv:ManualMappingCuration	0.85	Orchestra exposes added / updated / deprecated version-tracking metadata through EntityAttribGrp; SBE exposes the same through VersionAttributes.
fix_orchestra:FieldRefType	FieldRefType	skos:closeMatch	fix_sbe:RefTypeV1	RefType (SBE v1.0)	semapv:ManualMappingCuration	0.85	Reference-by-name semantics: Orchestra FieldRefType references a previously-defined field; SBE RefType references a previously-defined type / field.
fix_orchestra:FieldRefType	FieldRefType	skos:closeMatch	fix_sbe:RefTypeV2	RefType (SBE v2.0)	semapv:ManualMappingCuration	0.85	Same as v1.0.
fix_orchestra:FieldType	FieldType	skos:exactMatch	fix_sbe:FieldTypeV1	FieldType (SBE v1.0)	semapv:ManualMappingCuration	0.95	Both define a FIX field with id, name, type, and semantic attributes. Same shared name and near-identical conceptual model.
fix_orchestra:FieldType	FieldType	skos:exactMatch	fix_sbe:FieldTypeV2	FieldType (SBE v2.0)	semapv:ManualMappingCuration	0.95	Same as v1.0; v2.0 keeps the same shape with minor attribute-group changes.
fix_orchestra:Messages	Messages	skos:exactMatch	fix_sbe:MessagesV2	Messages (SBE v2.0)	semapv:ManualMappingCuration	0.95	Container element holding message definitions; equivalent on both sides.
fix_orchestra:MessageType	MessageType	skos:exactMatch	fix_sbe:MessageV1	Message (SBE v1.0)	semapv:ManualMappingCuration	0.9	Both define a FIX message at the metamodel level (name, id, msgType, member fields).
fix_orchestra:Presence	Presence	skos:exactMatch	fix_sbe:Presence	Presence	semapv:ManualMappingCuration	0.95	Same enumeration concept (required / optional / constant / etc.). Permissible-value sets overlap heavily across SBE and Orchestra.
fix_orchestra:Repository	Repository	skos:closeMatch	fix_sbe:MessageSchemaV1	MessageSchema (SBE v1.0)	semapv:ManualMappingCuration	0.7	Both are top-level container roots, but an Orchestra Repository carries substantially more (workflow, scenarios, sessions, actors) than an SBE MessageSchema.
fix_orchestra:Repository	Repository	skos:closeMatch	fix_sbe:MessageSchemaV2	MessageSchema (SBE v2.0)	semapv:ManualMappingCuration	0.7	Same as v1.0.
